objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Data Research Project.pdf,,,Data Research Project: The Impact of Financial Liberalization on Banking Crisis,Karen Stacey Blanco Mendoza,2023-03-12,PDF of a Research Paper on the impact that financial liberalization has on banking crises,research;banking;financial liberalization;IR 329,"Los Angeles, California",,,"Word, University of Southern California",,PDF,PDF,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,Final Paper.docx,,,The Weakening of China Throughout the Years and the Roadblock Towards Democracy,Karen Stacey Blanco Mendoza,2022-12-09,Word Document of a Final Paper on the weakening of China over the course of time,research;China;Democracy;Political Science,"Los Angeles, California",,,"Word, University of Southern California",,Word Docx,Docx,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,IR407 Research Paper.docx,,,Growing Underground Christian Churches' Influence on China,Karen Stacey Blanco Mendoza,2023-12-09,Word Document of a Research Paper based on underground Christian churches in China,research;China;Religion;Christianity;IR 407,"Los Angeles, California",,,"Word, University of Southern California",,Word Docx,Docx,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,IR468 Research Paper.docx,,,The Evolution of the European Central Bank’s Authorities Through Neo-Functionalism,Karen Stacey Blanco Mendoza,2023-12-07,Word Document of a Research Paper based on the evolution of European Central Banks through the lens of Neo-Functionalism,research;Europe;Central Banks;IR 468,"Los Angeles, California",,,"Word, University of Southern California",,Word Docx,Docx,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
